query #, secs elapsed, status
1, 53, SUCCESS
2, 43, SUCCESS
3, 59, SUCCESS
4, 62, SUCCESS
5, 68, SUCCESS
6, 31, SUCCESS
7, 69, SUCCESS
8, 70, SUCCESS
9, 108, SUCCESS
10, 72, SUCCESS
11, 45, SUCCESS
12, 89, SUCCESS
13, 67, SUCCESS
14, 27, SUCCESS
15, 35, SUCCESS
16, 53, SUCCESS
17, 72, SUCCESS
18,  , FAILURE
19, 54, SUCCESS
20, 45, SUCCESS
21, 144, SUCCESS
22, 65, SUCCESS
